"id","user_id","review_id","report_time","report_content"
1,1,618,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
2,2,703,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
3,3,5837,"2018-08-20","This review is purposefully malicious and assaulting."
4,4,1526,"2018-08-20","This review contains false information or may be fake."
5,5,1806,"2018-08-20","This review contains false information or may be fake."
6,6,4235,"2018-08-20","This review is purposefully malicious and assaulting."
7,7,4792,"2018-08-20","This review is purposefully malicious and assaulting."
8,8,459,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
9,9,1117,"2018-08-20","This review contains violent, graphic, promotional, or otherwise offensive content."
10,10,4890,"2018-08-20","This review is purposefully malicious and assaulting."
